№,Kode,Nama Rumah Sakit,Jenis,Tipe,Alamat
17.,3171072,RS dr. Suyoto Pusrehab Kemhan,RS,B,"Jalan RC. Veteran Raya №178, Bintaro, Kec. Pesanggrahan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12330"
18.,3171621,RS Gandaria,RS,C,"Jalan Gandaria Tengah II №6, Kramat Pela, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12130"
19.,3171802,RS Halimun,RS Bedah,C,"Jalan Halimun Raya №9, Guntur, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12980"
20.,3171610,RS Harapan Kartini,RS,C,"Jalan Ampera Raya №2A, Ragunan, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12560"
21.,3171676,RS Indah Medika,RS,B,"Jalan Tebet Raya №4, Tebet Barat, Kec. Tebet, Kota Administrasi Jakarta Selatan, DKI Jakarta 12810"
22.,3171045,RS Jakarta,RS,B,"Jalan Jend. Sudirman №49, Karet Semanggi, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12930"
23.,3171735,RS Jakarta Medical Center,RS,A,"Jalan Warung Buncit Raya №15, Kalibata, Kec. Pancoran, Kota Administrasi Jakarta Selatan, DKI Jakarta 12740"
24.,3171034,RS Marinir Cilandak,RS,B,"Jalan Cilandak KKO №3, Cilandak Timur, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12560"
25.,3171786,RS Mayapada Jakarta,RS,B,"Jalan Lebak Bulus I №29, Cilandak Barat, Kec. Cilandak, Kota Administrasi Jakarta Selatan, DKI Jakarta 12430"
26.,3171788,RS Mayapada Kuningan,RS,B,"Jalam HR. Rasuna Said №17, Karet Kuningan, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12940"
27.,3171665,RS Medistra,RS,B,"Jalan Gatot Subroto №59, Kuningan Timur, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12950"
28.,3171515,RS MMC Jakarta,RS,B,"Jalan HR. Rasuna Said №21, Karet Kuningan, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12940"
29.,3171781,RS Muhammadiyah Taman Puring,RS,C,"Jalan Gandaria I №20, Kramat Pela, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12130"
30.,3171796,RS Petukangan,RS,C,"Jalan Ciledug Raya №8A, Petukangan Selatan, Kec. Pesanggrahan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12270"
31.,3171504,RS Pondok Indah,RS,B,"Jalan Taman Duta I №4, Pondok Pinang, Kec. Kebayoran Lama, Kota Administrasi Jakarta Selatan, DKI Jakarta 12310"
32.,3171574,RS Prikasih,RS,C,"Jalan RS. Fatmawati №74, Pondok Labu, Kec. Cilandak, Kota Administrasi Jakarta Selatan, DKI Jakarta 12450"
33.,3171691,RS Prof. dr. Moestopo,RS Gigi & Mulut,B,"Jalan Bintaro Permai №3, Bintaro, Kec. Pesanggrahan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12330"
34.,3171023,RS Pusat Pertamina,RS,B,"Jalan Kyai Maja №43, Gunung, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12120"
35.,3171450,RS Setia Mitra,RS,C,"Jalan RS. Fatmawati №80, Cilandak Barat, Kec. Cilandak, Kota Administrasi Jakarta Selatan, DKI Jakarta 12430"
36.,3171643,RS Siaga Raya,RS,C,"Jalan Siaga Raya №4, Pejaten Barat, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12510"
37.,3171511,RS Siloam Asri,RS,B,"Jalan Duren Tiga №20, Duren Tiga, Kec. Pancoran, Kota Administrasi Jakarta Selatan, DKI Jakarta 12760"
38.,3171056,RS Siloam Semanggi,RS Kanker,A,"Jalan Garnisiun Dalam №2, Karet Semanggi, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12930"
39.,3171789,RS Siloam TB Simatupang,RS,B,"Jalan R.A.Kartini №8, Cilandak Barat, Kec. Cilandak, Kota Administrasi Jakarta Selatan, DKI Jakarta 12430"
40.,3171461,RS Tebet,RS,B,"Jalan Letjen MT. Haryono №13, Tebet Barat, Kec. Tebet, Kota Administrasi Jakarta Selatan, DKI Jakarta 12810"
41.,3171680,RS Tria Dipa,RS,C,"Jalan Raya Pasar Minggu №3A, Pancoran, Kec. Pancoran, Kota Administrasi Jakarta Selatan, DKI Jakarta 12780"
42.,3171784,RS Yadika Kebayoran Lama,RS,C,"Jalan Ciputat Raya №5, Kebayoran Lama Selatan, Kec. Kebayoran Lama, Kota Administrasi Jakarta Selatan, DKI Jakarta 12240"
43.,3171782,RSIA Andhika,RSIA,C,"Jalan Warung Sila №8, Ciganjur, Kec. Jagakarsa, Kota Administrasi Jakarta Selatan, DKI Jakarta 12630"
44.,3171413,RSIA Asih,RSIA,B,"Jalan Panglima Polim I №34, Melawai, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12160"
45.,3171286,RSIA Budhi Jaya,RSIA,A,"Jalan Dr. Sahardjo №120, Menteng Atas, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12960"
46.,3171713,RSIA Kartini,RSIA,C,"Jalan Ciledug Raya №94, Cipulir, Kec. Kebayoran Lama, Kota Administrasi Jakarta Selatan, DKI Jakarta 12230"
47.,3171783,RSIA Kemang Medical Care,RSIA,B,"Jalan Ampera Raya №34, Ragunan, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12550"
48.,3171216,RSIA Panti Nugeraha,RSIA,C,"Jalan Senayan №26, Melawai, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12160"
49.,3171702,RSU Zahirah,RSU,C,"Jalan Sirsak №21, Jagakarsa, Kec. Jagakarsa, Kota Administrasi Jakarta Selatan, DKI Jakarta 12620"
50.,3171012,RSUP Fatmawati,RSU,A,"Jalan RS. Fatmawati №4, Cilandak Barat, Kec. Cilandak, Kota Administrasi Jakarta Selatan, DKI Jakarta 12430:[4]"
