No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total
Ranjang"
55,3471223,RSU Bedah Patmasuri,RSU,C,Organisasi Sosial,0
56,3471096,RS Mata Dr. Yap,RSK Mata,B,Organisasi Sosial,49
57,3471085,RS Khusus Jiwa Puri Nirmala,RSK Jiwa,C,Organisasi Sosial,28
58,3471074,RSPAU Dr. Suhardi Harjolukito,RSU,B,TNI AU,204
59,3471063,RS Bethesda Yogyakarta,RSU,B,Organisasi Sosial,351
60,3471052,RS Umum Panti Rapih,RSU,B,Organisasi Sosial,350
61,3471041,RS PKU Muhammadiyah Yogyakarta,RSU,B,Organisasi Islam,156
62,3471030,RS Tk. III 04.06.03 Dr. Soetarto,RSU,C,TNI AD,70
63,3471026,RS Islam Hidayatullah Yogyakarta,RSU,D,Organisasi Islam,83
64,3404015,RSUP Dr. Sardjito,RSU,A,Kemkes,801
65,3404157,RS Umum Sakina Idaman,RSU,C,Organisasi Sosial,54
66,3404146,RS Islam Yayasan PDHI,RSU,C,Organisasi Sosial,82
67,3404135,RS Umum Dharma,RSU,D,Organisasi Sosial,0
68,3404124,RS Umum Panti Nugroho,RSU,D,Organisasi Sosial,41
69,3404102,RS Umum Panti Rini,RSU,C,Organisasi Katholik,52
70,3404070,RSK Bedah An-Nur,RSK BEDAH,C,Organisasi Sosial,32
71,3404033,RS Umum Panti Baktiningsih,RSU,D,Organisasi Sosial,19
72,3404022,RS Jiwa Grhasia,RSK Jiwa,A,Pemprop,205
73,3404011,RS Umum Daerah Sleman,RSU,B,Pemkab,163
74,3403021,RS Umum Nur Rohmah,RSU,D,Organisasi Sosial,44
75,3403010,RS Umum Daerah Wonosari,RSU,C,Pemkab,175
76,3402053,RS Umum Nur Hidayah,RSU,D,Organisasi Sosial,70
77,3402042,RS Ibu Anak Ummi Khasanah,RSIA,C,Organisasi Sosial,24
78,3402031,RSU PKU Muhammadiyah Bantul,RSU,C,Organisasi Islam,153
79,3402020,RS Umum Santa Elisabeth,RSU,D,Organisasi Katholik,45
80,3402016,RS Umum Daerah Panembahan Senopati,RSU,B,Pemkab,242
81,3401037,RS Umum Rizki Amalia Medika,RSU,D,Organisasi Sosial,49
82,3401026,RS Umum St Yusup Boro,RSU,D,Organisasi Sosial,25
83,3401015,RS Umum Daerah Wates,RSU,B,Pemkab,194
