No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total Ranjang"
63,1371091,RS Umum Islam Ibnu Sina,RSU,C,Organisasi Islam,116
64,1371032,RS Umum Yos Sudarso,RSU,C,Organisasi Katholik,125
65,1371021,RS Tk III Reksodiwiryo Padang,RSU,C,TNI AD,172
66,1371010,RSUP Dr. M. Djamil,RSU,A,Kemkes,626
67,1312024,RS Umum Daerah Pasaman Barat,RSU,C,Pemkab,127
68,1309022,RS Umum Islam Ibnu Sina,RSU,C,Organisasi Islam,97
69,1309011,RS Umum Daerah Lubuk Sikaping,RSU,C,Pemkab,155
70,1308010,RS Umum Daerah dr. Achmad Darwis,RSU,C,Pemkab,85
71,1308016,RS Umum Daerah Lubuk Basung,RSU,C,Pemkab,126
72,1306015,RS Umum Daerah Pariaman,RSU,B,Pemprop,168
73,1305014,RS Umum Daerah Prof Dr M.A Hanafiah,RSU,C,Pemkab,43
74,1311013,RS Umum Daerah Sungai Dareh,RSU,C,Pemkab,122
75,1303023,RS Umum Daerah Arosuka Solok,RSU,C,Pemkab,90
76,1303012,RS Umum Daerah Muara Labuh,RSU,C,Pemkab,88
77,1302011,RS Umum Daerah Dr. Muhammad Zein Painan,RSU,C,Pemkab,180
78,1301010,RS Umum Daerah Kep. Mentawai,RSU,D,Pemkab,48
